"","scenario","region","crop","Year","gcam","fao","fao.detrend"
"1","GCAM_Hist_Forecast","Africa","Corn",1990,252.3364585,255.69241,2.39239237158046
"2","GCAM_Hist_Forecast_Bio","Africa","Corn",1990,252.3364585,255.69241,2.39239237158046
"3","GCAM_History","Africa","Corn",1990,252.3364585,255.69241,2.39239237158046
"4","GCAM_History_Bio","Africa","Corn",1990,252.3364585,255.69241,2.39239237158046
"5","GCAM_Hist_Forecast","Australia_NZ","Corn",1990,0.764619995,0.76552,0.0651429731632084
"6","GCAM_Hist_Forecast_Bio","Australia_NZ","Corn",1990,0.764619995,0.76552,0.0651429731632084
"7","GCAM_History","Australia_NZ","Corn",1990,0.764619995,0.76552,0.0651429731632084
"8","GCAM_History_Bio","Australia_NZ","Corn",1990,0.764619995,0.76552,0.0651429731632084
"9","GCAM_Hist_Forecast","Canada","Corn",1990,10.36947254,10.65895,0.151970799912725
"10","GCAM_Hist_Forecast_Bio","Canada","Corn",1990,10.36947254,10.65895,0.151970799912725
"11","GCAM_History","Canada","Corn",1990,10.36947254,10.65895,0.151970799912725
"12","GCAM_History_Bio","Canada","Corn",1990,10.36947254,10.65895,0.151970799912725
"13","GCAM_Hist_Forecast","China","Corn",1990,221.68005,226.41469,4.45397728561591
"14","GCAM_Hist_Forecast_Bio","China","Corn",1990,221.68005,226.41469,4.45397728561591
"15","GCAM_History","China","Corn",1990,221.68005,226.41469,4.45397728561591
"16","GCAM_History_Bio","China","Corn",1990,221.68005,226.41469,4.45397728561591
"17","GCAM_Hist_Forecast","Eastern Europe","Corn",1990,69.24718902,64.72352,-3.35326024180895
"18","GCAM_Hist_Forecast_Bio","Eastern Europe","Corn",1990,69.24718902,64.72352,-3.35326024180895
"19","GCAM_History","Eastern Europe","Corn",1990,69.24718902,64.72352,-3.35326024180895
"20","GCAM_History_Bio","Eastern Europe","Corn",1990,69.24718902,64.72352,-3.35326024180895
"21","GCAM_Hist_Forecast","Former Soviet Union","Corn",1990,33.954336,28.37,-1.60676603763647
"22","GCAM_Hist_Forecast_Bio","Former Soviet Union","Corn",1990,33.954336,28.37,-1.60676603763647
"23","GCAM_History","Former Soviet Union","Corn",1990,33.954336,28.37,-1.60676603763647
"24","GCAM_History_Bio","Former Soviet Union","Corn",1990,33.954336,28.37,-1.60676603763647
"25","GCAM_Hist_Forecast","India","Corn",1990,60.27857614,59.043,0.309577441740913
"26","GCAM_Hist_Forecast_Bio","India","Corn",1990,60.27857614,59.043,0.309577441740913
"27","GCAM_History","India","Corn",1990,60.27857614,59.043,0.309577441740913
"28","GCAM_History_Bio","India","Corn",1990,60.27857614,59.043,0.309577441740913
"29","GCAM_Hist_Forecast","Japan","Corn",1990,0.392294867,0.39517,-0.00965303084896868
"30","GCAM_Hist_Forecast_Bio","Japan","Corn",1990,0.392294867,0.39517,-0.00965303084896868
"31","GCAM_History","Japan","Corn",1990,0.392294867,0.39517,-0.00965303084896868
"32","GCAM_History_Bio","Japan","Corn",1990,0.392294867,0.39517,-0.00965303084896868
"33","GCAM_Hist_Forecast","Korea","Corn",1990,0.231285232,0.25987,0.0207757733896629
"34","GCAM_Hist_Forecast_Bio","Korea","Corn",1990,0.231285232,0.25987,0.0207757733896629
"35","GCAM_History","Korea","Corn",1990,0.231285232,0.25987,0.0207757733896629
"36","GCAM_History_Bio","Korea","Corn",1990,0.231285232,0.25987,0.0207757733896629
"37","GCAM_Hist_Forecast","Latin America","Corn",1990,264.9610131,249.6458,-6.03769183403995
"38","GCAM_Hist_Forecast_Bio","Latin America","Corn",1990,264.9610131,249.6458,-6.03769183403995
"39","GCAM_History","Latin America","Corn",1990,264.9610131,249.6458,-6.03769183403995
"40","GCAM_History_Bio","Latin America","Corn",1990,264.9610131,249.6458,-6.03769183403995
"41","GCAM_Hist_Forecast","Middle East","Corn",1990,2.22483535,2.17627,-0.236227549863334
"42","GCAM_Hist_Forecast_Bio","Middle East","Corn",1990,2.22483535,2.17627,-0.236227549863334
"43","GCAM_History","Middle East","Corn",1990,2.22483535,2.17627,-0.236227549863334
"44","GCAM_History_Bio","Middle East","Corn",1990,2.22483535,2.17627,-0.236227549863334
"45","GCAM_Hist_Forecast","Southeast Asia","Corn",1990,106.9601263,108.05851,2.68558180255414
"46","GCAM_Hist_Forecast_Bio","Southeast Asia","Corn",1990,106.9601263,108.05851,2.68558180255414
"47","GCAM_History","Southeast Asia","Corn",1990,106.9601263,108.05851,2.68558180255414
"48","GCAM_History_Bio","Southeast Asia","Corn",1990,106.9601263,108.05851,2.68558180255414
"49","GCAM_Hist_Forecast","USA","Corn",1990,270.5528509,273.7189,-1.5085274570759
"50","GCAM_Hist_Forecast_Bio","USA","Corn",1990,270.5528509,273.7189,-1.5085274570759
"51","GCAM_History","USA","Corn",1990,270.5528509,273.7189,-1.5085274570759
"52","GCAM_History_Bio","USA","Corn",1990,270.5528509,273.7189,-1.5085274570759
"53","GCAM_Hist_Forecast","Western Europe","Corn",1990,45.83709292,42.26826,-1.4762316222118
"54","GCAM_Hist_Forecast_Bio","Western Europe","Corn",1990,45.83709292,42.26826,-1.4762316222118
"55","GCAM_History","Western Europe","Corn",1990,45.83709292,42.26826,-1.4762316222118
"56","GCAM_History_Bio","Western Europe","Corn",1990,45.83709292,42.26826,-1.4762316222118
"57","GCAM_Hist_Forecast","Africa","MiscCrop",1990,339.2420445,335.78282,-1.74363283533853
"58","GCAM_Hist_Forecast_Bio","Africa","MiscCrop",1990,339.2420445,335.78282,-1.74363283533853
"59","GCAM_History","Africa","MiscCrop",1990,339.2420445,335.78282,-1.74363283533853
"60","GCAM_History_Bio","Africa","MiscCrop",1990,339.2420445,335.78282,-1.74363283533853
"61","GCAM_Hist_Forecast","Australia_NZ","MiscCrop",1990,18.70134226,17.30408,-0.268319433324667
"62","GCAM_Hist_Forecast_Bio","Australia_NZ","MiscCrop",1990,18.70134226,17.30408,-0.268319433324667
