region,crop,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Canada,Cotton_Fiber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,Cotton_Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,Corn,16088280,13711089,16296960,16287015,16622515,17920411,16908386,16924741,16923240,16727900,17651576,17613446,17517128,18391829,19620817,20322013,20828952,21145472,21285629,21552605,20599850,19696510,19985032,19708693,18888936,20322786,21416439,20994383,21692263,22641469,22791155,22292959,21941217,22441804,24123252,25822265,25135885,26599921,27265393,24370022,25603669,26047011,25585808,27032246,28053736,28611466,31236791,31995954,33023914,34484280
China,FiberCrop,265037,276935,316178,344494,369098,452223,456505,439791,434432,429380,421259,455602,544729,582591,593613,627775,677540,718316,711557,642349,621290,539427,499294,595083,1330122,897801,1064502,830554,620433,545546,500151,483333,473612,420629,422159,395299,378900,269871,249022,295796,360252,380193,376239,348346,373878,320836,309974,264376,202597,178392.3
China,FodderGrass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,FodderHerb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,MiscCrop,18001832,18809743,16071920,15645891,15777162,15227477,15376554,15178624,14773273,14046178,13290493,13082681,13637628,13429686,13842200,14136620,14530301,14292717,14716393,14461172,15128612,15698993,15721463,16202337,17785689,19260561,20602026,21854783,22602437,21752385,20781983,21829101,25118247,26920131,28015460,29963608,31405832,31903081,33843225,36662693,38206721,39637091,40273618,41149514,42202274,42430744,43002977,43471765,44164512.8,44658216.4
China,OilCrop,14164882,13814979,14313918,15416084,14032843,13851130,13831716,13186370,13133416,12728812,12804108,13033716,12851608,12691121,12734395,12509745,12431251,13449751,14235723,14987989,17151779,17796479,16000657,16077323,19741247,20306219,20635514,19784629,19469024,19530537,19691205,19888422,21895060,22633545,22545611,21301119,21993928,22733850,23178446,25879002,25415228,24818109,25644563,25499232,25531477,23032001,21626354,23529389,24379921,24003338
China,OtherGrain,23087561,25521146,23961567,22145695,21302299,21822006,20649330,19497957,20085852,19656161,19341638,18826416,18529986,17308786,15688787,14364001,13616356,13445874,12566220,11341058,11320334,11087665,11413292,10773153,9488147,9087942,8888165,8725761,8360541,8179014,8828943,8736830,7762304,7362753,7119430,6858790,6520221,6032831,5708779,5715961,4971787,4857556,4371953,4026060,4009837,4051688,3791006,3651253,3426779,3373520
China,PalmFruit,42400,40000,40000,40000,40600,39200,38000,36000,34000,32500,33600,32000,31000,31000,30700,36604,51996,62140,71720,68600,82100,90500,100100,118600,201600,230686,270800,279600,272787,277709,278013,269499,272995,252035,243344,255839,244998,237013,239004,219484,219474,213185,208642,209461,208414,206727,210632,212871,213761,215909
China,Rice,34390821,35326155,35666397,38193438,38224838,38657769,38514109,38380755,38599067,40761261,42741753,42680803,42192144,42521826,42864875,43896472,43387042,42292994,41478878,42172670,41567002,41664092,41650488,41063103,40446984,40665666,40312396,40669366,41578055,42016767,41628502,41240150,39717957,39213437,40379079,41216662,41768590,41476770,41950140,40405960,39189019,38590607,37058364,38753065,39443500,39982510,39535916,40077342,40562390,40977472
China,Root_Tuber,12734550,13018846,11399937,12130065,11556393,12480554,11558078,11176486,11317806,11595925,11294395,12246931,12220695,11976342,11851813,11352276,12433233,13116823,12378765,11635124,11011434,10667803,10612925,10172320,9724743,9825284,9998011,10213375,10179089,10179209,10182868,10422507,10407352,10357636,10557596,10850950,10826160,11059437,11470931,11640296,11365337,11085744,10940676,10685638,10776946,9232335,9491846,9968077,10053284,10214151
China,SugarCrop,546915,383900,411482,583683,693428,700264,665952,630248,645281,710662,770003,873815,936226,914300,985099,1088600,1057872,1064422,1037065,1145314,1205866,1348882,1446966,1488554,1763659,1669785,1566564,1892100,1738362,1884577,2161230,2122397,1901576,1991408,2112776,2144364,1931910,1980168,1735973,1827534,1985635,2174395,2001482,1875928,1848169,1874376,2116501,2284017,2173095,2197600
China,Wheat,26002759,24556363,24277512,25910511,25221119,24411507,25789891,25141716,25638660,25928003,26083036,26715672,26834386,27444304,28045268,28794502,28473558,29684151,29828977,29684137,28773719,28444008,29580338,30123282,29786123,30174434,29356965,29365979,30450159,31377230,31567780,31112088,30821707,29498950,29299520,30010874,30444188,30146235,29176124,26890907,24913978,24179716,22268713,21864089,23023216,23159532,23917721,23840283,24614689,24579319
China,Cotton_Fiber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,Cotton_Total,3917007,3533015,4443276,4969895,5038585,4954543,5124852,5014890,4863461,5019921,4943704,4916273,4961646,5031685,4972238,4947996,4871919,4891053,4529673,4936909,5202335,5850700,6100905,6946603,5170672,4336476,4873945,5557942,5228706,5613905,6572774,6871401,5014901,5559901,5457700,4755970,4525061,4502195,3765990,4078790,4856630,4237490,5157996,5740207,5106897,5855800,5957394,5779089,4980620,4877321.59
Eastern Europe,Corn,8286414,7866541,8115090,7959326,7952123,7914746,7849191,7892922,7775615,7518118,7797533,7932594,7694535,7470086,8017302,8118561,7945072,7468729,7928751,7607199,7411904,7075710,7190534,7396209,7312090,7261299,6995885,6780642,6994871,6472352,6752536,7623703,7069123,6969878,6809405,7159604,6928411,6962718,6881515,7019733,7000669,6773730,7239625,7389904,6586952,6446059,5932247,6492753,6156848,6091857
Eastern Europe,FiberCrop,336758,360636,342359,352362,331755,329056,342319,304092,280425,265520,266815,257042,238814,243967,250532,266463,238622,257758,265898,249054,226612,203487,211547,216493,223404,198150,182373,176512,187173,101353,60763,39758,18947,25661,30852,21379,12217,12330,12652,13929,13882,13171,11183.3,10937,13578,8230,4829,4645,4101,4213
Eastern Europe,FodderGrass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Europe,FodderHerb,215337,192737,184998,171018,175308,182902,150945,113032,103571,98687,84359,80122,66217,69842,60070,48127,47813,43165,45447,38372,42831,39657,40942,34190,32185,32036,29099,31855,32646,29815,29048,27679,23778,21193,21531,23653,22586,21825,20719,20933,22003,21248,19873,19305,21027,19326,21579,20645,22786,20370
Eastern Europe,MiscCrop,6735328,6686795,7309430,7316884,6864089,6048233,5677482,5288044,5018468,4828173,4666639,4597161,4351077,4435867,4369149,4289777,4086107,4011902,3774069,3840741,3817905,3796564,4040430,4022340,4932277,4933650,4832696,4934048,4991229,4369725,4343286,4365957,4161894,3950596,4007285,3896823,3833749,3887230,3808169,3688842,3572331,3345001,3640921.6,3658914,3451918.8,3493155,3539257,3458437,3479688,3294919
Eastern Europe,OilCrop,1652605,1719812,1697340,1745775,1781539,1798923,1925701,1997086,1847239,2081994,2221063,2055738,2155477,2138399,2138476,2319595,2372960,2463431,2470852,2650959,2622872,2488964,2486970,2714724,2922205,2973442,3031366,2982568,3176513,2725962,2673048,3023117,2744329,2776110,3459953,3306478,3040200,3653678,4397739,3570162,3319400,3592413,4251358,4003981,4263745.6,4677211,4638757,4996649,5037448,5284313
Eastern Europe,OtherGrain,12426744,11914444,11634414,11466010,11255288,11094327,10832922,10600761,10629648,10032259,10111473,10107341,9861061,9728667,9849283,9317236,9714992,9600384,10064203,9868561,10342911,10437715,9975927,9658174,9482883,9415811,9310649,9504483,9537254,9599774,10067518,9529672,9589182,9840994,9473739,9333108,9696187,9416893,9018170,8860751,9056864,8802561,8534759,8715720,8778518.7,8546192,8701792,8880436,8866912,8383900
Eastern Europe,PalmFruit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Europe,Rice,51613,46519,54429,59324,56611,60490,64411,69165,77860,81235,82197,80442,78594,79463,77831,78238,77194,74590,71321,64477,62319,62916,68374,75013,73739,80438,85028,88036,83690,74111,47915,34529,25257,12006,13009,18408,15235,12289,9432,12055,8936,8639,11363,12562,12944.6,15058,19663,20079,25699,30128
Eastern Europe,Root_Tuber,4264950,4332288,4328403,4279707,3929651,4082141,4057827,3993501,3923391,3924478,3833158,3770641,3761376,3776106,3625804,3475014,3464097,3351173,3402567,3256666,3187064,3109095,3138572,3056040,3010400,2923128,2818858,2776354,2795457,2707401,2551458,2503541,2525411,2435943,2279295,2087090,2024340,2025291,2004709,1976132,1872086,1486965,1406175,1279337,1162980,1156623,1097402,1075910,1013231,971898
Eastern Europe,SugarCrop,1129293,1123662,1104690,1201745,1164737,1143441,1087804,1037513,1037046,983384,994717,1047274,1125436,1134615,1279576,1318088,1324982,1311101,1239330,1209444,1302393,1309444,1245336,1275119,1234001,1179188,1201930,1118455,1171610,1106255,1073652,989713,827190,864565,870847,962190,879987,813132,710989,611372,607315,593825,585825,582590,575101,551175,507060,351142,390025,402296
Eastern Europe,Wheat,9438614,9734976,9567721,9990745,9489295,9751653,9796903,10205538,10302747,9651903,10015827,10116332,9641538,9897350,9300460,9658970,9409230,9581240,8560353,8997779,8374420,8802300,9234440,9402760,9424050,9729960,9776930,9958590,9822020,9852700,9844138,8131052,9703239,9974537,9912315,8742835,10051295,9727248,8249340,9206599,10390007,9544907,7748943,9155352,9104505,8339085,8375414,8707588,9113558,8756180
Eastern Europe,Cotton_Fiber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Europe,Cotton_Total,93671,86258,85356,78747,76994,80066,83386,77071,76942,77449,74217,69345,70358,73364,60577,59441,46517,44719,40600,34811,35706,34573,36335,33763,36757,35986,34620,35187,31216,21615,17440,15399,7562,9370,11818,13404,14937,11103,9266,10250,15340,6885,4142,3309,2198.6,2092,1798,1446,1235,1200
Former Soviet Union,Corn,7145000,7005000,6995000,5114000,3177000,3229000,3485000,3350000,4167000,3353000,3332000,4012000,3303000,3955000,2652000,3303000,3362000,2535000,2663300,2970400,3540600,4161000,3894000,3919000,4482000,4223000,4573000,4431000,4120000,2837000,2972000,2617447,2897592,1881300,2474165,2011825,3318292,2201218,2093285,2878686,2511125,2658729,3684923,4240953,3477603,3587153,4141039,5131496,4106101,4574081
Former Soviet Union,FiberCrop,1850000,1922000,1690000,1844000,1770000,1671000,1627000,1580000,1548000,1511000,1456000,1462000,1433000,1388000,1386000,1376000,1363000,1371000,1213000,1296600,1077000,1132000,1197000,1200000,1149000,1097000,1091000,1040000,946650,840907,678957,703562,549230,341076,414557,320095,248508,235953,210015,247785,272301,211231,224589,253044,223879,163532,169664,178695,155730,123285
Former Soviet Union,FodderGrass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Former Soviet Union,FodderHerb,1425000,1685000,1500000,1450000,1293000,1280000,1267000,1137000,1177000,1130000,975000,1133000,1101000,994000,1074000,820000,879000,800000,589000,499000,590000,551000,712000,828000,821000,917000,851000,737000,800000,730000,602000,406700,365470,337260,396300,394189,277931,318853,331472,278100,259700,294210,398208,425643,345555,356017,253081,242682,104790,104794
Former Soviet Union,MiscCrop,6747160,9528160,13426100,13477800,9939700,9085770,8833060,8628330,8777500,9616640,9773980,10400690,10747390,10546180,10463770,10042820,10052870,10128490,10193200,9890660,10835450,10346010,11184200,11631500,11364900,11442600,11329500,11414900,11019965,10154851,9646627,9047560,8579988,8474567,8127970,7360609,7029328.6,6329429,6319489,6213875,6303826,6414509.2,6409051,6248093.8,6278755,6171312,5843440,5539850,5798979,6063688
Former Soviet Union,OilCrop,7246300,7782964,7577914,7927520,8124205,8106250,7823300,7858400,7683500,7610000,7388300,7341340,7605830,7476420,6803901,7174900,7244940,7213010,6893200,6994600,6675000,6846400,6909700,6329965,6482900,6235443,6867100,7144100,7157840,7157669,6656836,7021506.74,6717134.9,6865807,8524144.1,8012202,6845353,7770082,9965463,9279080,7780254.9,8547419.6,11420544,11261535,12511424,14230611,12998373,15728236,15519941,17029560
Former Soviet Union,OtherGrain,47705000,46911100,47399100,49486100,47665700,45444500,45920000,45527000,46595000,45258000,45004000,51351000,53033000,57235000,57113000,59352000,59212000,57394000,60270400,56692000,56458500,55773000,59336000,57242000,55998000,56181700,56874000,55201000,52327700,52277767,53382736,52984834,53319967,50431010,44100276,38803854,36859052,27290392,27559110,30225024,31666498,29406257,27760382,28654997,26764633,28516012,26635673,28292504,26008687,19827024.9
Former Soviet Union,PalmFruit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
