scenario,region,crop,Year,gcam,fao,error,pct_error
GCAM_Hist_Forecast,Africa,Corn,1990,252.3364585,255.69241,-3.355951455,-1.312495531
GCAM_Hist_Forecast_Bio,Africa,Corn,1990,252.3364585,255.69241,-3.355951455,-1.312495531
GCAM_History,Africa,Corn,1990,252.3364585,255.69241,-3.355951455,-1.312495531
GCAM_History_Bio,Africa,Corn,1990,252.3364585,255.69241,-3.355951455,-1.312495531
GCAM_Hist_Forecast,Australia_NZ,Corn,1990,0.764619995,0.76552,-0.000900005,-0.117567762
GCAM_Hist_Forecast_Bio,Australia_NZ,Corn,1990,0.764619995,0.76552,-0.000900005,-0.117567762
GCAM_History,Australia_NZ,Corn,1990,0.764619995,0.76552,-0.000900005,-0.117567762
GCAM_History_Bio,Australia_NZ,Corn,1990,0.764619995,0.76552,-0.000900005,-0.117567762
GCAM_Hist_Forecast,Canada,Corn,1990,10.36947254,10.65895,-0.289477464,-2.715815948
GCAM_Hist_Forecast_Bio,Canada,Corn,1990,10.36947254,10.65895,-0.289477464,-2.715815948
GCAM_History,Canada,Corn,1990,10.36947254,10.65895,-0.289477464,-2.715815948
GCAM_History_Bio,Canada,Corn,1990,10.36947254,10.65895,-0.289477464,-2.715815948
GCAM_Hist_Forecast,China,Corn,1990,221.68005,226.41469,-4.734639969,-2.091136387
GCAM_Hist_Forecast_Bio,China,Corn,1990,221.68005,226.41469,-4.734639969,-2.091136387
GCAM_History,China,Corn,1990,221.68005,226.41469,-4.734639969,-2.091136387
GCAM_History_Bio,China,Corn,1990,221.68005,226.41469,-4.734639969,-2.091136387
GCAM_Hist_Forecast,Eastern Europe,Corn,1990,69.24718902,64.72352,4.523669015,6.989219708
GCAM_Hist_Forecast_Bio,Eastern Europe,Corn,1990,69.24718902,64.72352,4.523669015,6.989219708
GCAM_History,Eastern Europe,Corn,1990,69.24718902,64.72352,4.523669015,6.989219708
GCAM_History_Bio,Eastern Europe,Corn,1990,69.24718902,64.72352,4.523669015,6.989219708
GCAM_Hist_Forecast,Former Soviet Union,Corn,1990,33.954336,28.37,5.584336,19.68394783
GCAM_Hist_Forecast_Bio,Former Soviet Union,Corn,1990,33.954336,28.37,5.584336,19.68394783
GCAM_History,Former Soviet Union,Corn,1990,33.954336,28.37,5.584336,19.68394783
GCAM_History_Bio,Former Soviet Union,Corn,1990,33.954336,28.37,5.584336,19.68394783
GCAM_Hist_Forecast,India,Corn,1990,60.27857614,59.043,1.235576144,2.092671687
GCAM_Hist_Forecast_Bio,India,Corn,1990,60.27857614,59.043,1.235576144,2.092671687
GCAM_History,India,Corn,1990,60.27857614,59.043,1.235576144,2.092671687
GCAM_History_Bio,India,Corn,1990,60.27857614,59.043,1.235576144,2.092671687
GCAM_Hist_Forecast,Japan,Corn,1990,0.392294867,0.39517,-0.002875133,-0.727568717
GCAM_Hist_Forecast_Bio,Japan,Corn,1990,0.392294867,0.39517,-0.002875133,-0.727568717
GCAM_History,Japan,Corn,1990,0.392294867,0.39517,-0.002875133,-0.727568717
GCAM_History_Bio,Japan,Corn,1990,0.392294867,0.39517,-0.002875133,-0.727568717
GCAM_Hist_Forecast,Korea,Corn,1990,0.231285232,0.25987,-0.028584768,-10.99964133
GCAM_Hist_Forecast_Bio,Korea,Corn,1990,0.231285232,0.25987,-0.028584768,-10.99964133
GCAM_History,Korea,Corn,1990,0.231285232,0.25987,-0.028584768,-10.99964133
GCAM_History_Bio,Korea,Corn,1990,0.231285232,0.25987,-0.028584768,-10.99964133
GCAM_Hist_Forecast,Latin America,Corn,1990,264.9610131,249.6458,15.31521306,6.134776977
GCAM_Hist_Forecast_Bio,Latin America,Corn,1990,264.9610131,249.6458,15.31521306,6.134776977
GCAM_History,Latin America,Corn,1990,264.9610131,249.6458,15.31521306,6.134776977
GCAM_History_Bio,Latin America,Corn,1990,264.9610131,249.6458,15.31521306,6.134776977
GCAM_Hist_Forecast,Middle East,Corn,1990,2.22483535,2.17627,0.04856535,2.231586632
GCAM_Hist_Forecast_Bio,Middle East,Corn,1990,2.22483535,2.17627,0.04856535,2.231586632
GCAM_History,Middle East,Corn,1990,2.22483535,2.17627,0.04856535,2.231586632
GCAM_History_Bio,Middle East,Corn,1990,2.22483535,2.17627,0.04856535,2.231586632
GCAM_Hist_Forecast,Southeast Asia,Corn,1990,106.9601263,108.05851,-1.098383659,-1.016471224
GCAM_Hist_Forecast_Bio,Southeast Asia,Corn,1990,106.9601263,108.05851,-1.098383659,-1.016471224
GCAM_History,Southeast Asia,Corn,1990,106.9601263,108.05851,-1.098383659,-1.016471224
GCAM_History_Bio,Southeast Asia,Corn,1990,106.9601263,108.05851,-1.098383659,-1.016471224
GCAM_Hist_Forecast,USA,Corn,1990,270.5528509,273.7189,-3.166049129,-1.156679034
GCAM_Hist_Forecast_Bio,USA,Corn,1990,270.5528509,273.7189,-3.166049129,-1.156679034
GCAM_History,USA,Corn,1990,270.5528509,273.7189,-3.166049129,-1.156679034
GCAM_History_Bio,USA,Corn,1990,270.5528509,273.7189,-3.166049129,-1.156679034
GCAM_Hist_Forecast,Western Europe,Corn,1990,45.83709292,42.26826,3.568832917,8.443292714
GCAM_Hist_Forecast_Bio,Western Europe,Corn,1990,45.83709292,42.26826,3.568832917,8.443292714
GCAM_History,Western Europe,Corn,1990,45.83709292,42.26826,3.568832917,8.443292714
GCAM_History_Bio,Western Europe,Corn,1990,45.83709292,42.26826,3.568832917,8.443292714
GCAM_Hist_Forecast,Africa,MiscCrop,1990,339.2420445,335.78282,3.459224529,1.030196997
GCAM_Hist_Forecast_Bio,Africa,MiscCrop,1990,339.2420445,335.78282,3.459224529,1.030196997
GCAM_History,Africa,MiscCrop,1990,339.2420445,335.78282,3.459224529,1.030196997
GCAM_History_Bio,Africa,MiscCrop,1990,339.2420445,335.78282,3.459224529,1.030196997
GCAM_Hist_Forecast,Australia_NZ,MiscCrop,1990,18.70134226,17.30408,1.397262261,8.07475613
GCAM_Hist_Forecast_Bio,Australia_NZ,MiscCrop,1990,18.70134226,17.30408,1.397262261,8.07475613
GCAM_History,Australia_NZ,MiscCrop,1990,18.70134226,17.30408,1.397262261,8.07475613
GCAM_History_Bio,Australia_NZ,MiscCrop,1990,18.70134226,17.30408,1.397262261,8.07475613
GCAM_Hist_Forecast,Canada,MiscCrop,1990,6.176997,4.89764,1.279357,26.12190769
GCAM_Hist_Forecast_Bio,Canada,MiscCrop,1990,6.176997,4.89764,1.279357,26.12190769
GCAM_History,Canada,MiscCrop,1990,6.176997,4.89764,1.279357,26.12190769
GCAM_History_Bio,Canada,MiscCrop,1990,6.176997,4.89764,1.279357,26.12190769
GCAM_Hist_Forecast,China,MiscCrop,1990,214.1666824,217.52385,-3.35716763,-1.54335611
GCAM_Hist_Forecast_Bio,China,MiscCrop,1990,214.1666824,217.52385,-3.35716763,-1.54335611
GCAM_History,China,MiscCrop,1990,214.1666824,217.52385,-3.35716763,-1.54335611
GCAM_History_Bio,China,MiscCrop,1990,214.1666824,217.52385,-3.35716763,-1.54335611
GCAM_Hist_Forecast,Eastern Europe,MiscCrop,1990,46.0576134,43.69725,2.360363402,5.401629168
GCAM_Hist_Forecast_Bio,Eastern Europe,MiscCrop,1990,46.0576134,43.69725,2.360363402,5.401629168
GCAM_History,Eastern Europe,MiscCrop,1990,46.0576134,43.69725,2.360363402,5.401629168
GCAM_History_Bio,Eastern Europe,MiscCrop,1990,46.0576134,43.69725,2.360363402,5.401629168
GCAM_Hist_Forecast,Former Soviet Union,MiscCrop,1990,102.544804,101.54851,0.996294,0.981101544
GCAM_Hist_Forecast_Bio,Former Soviet Union,MiscCrop,1990,102.544804,101.54851,0.996294,0.981101544
GCAM_History,Former Soviet Union,MiscCrop,1990,102.544804,101.54851,0.996294,0.981101544
GCAM_History_Bio,Former Soviet Union,MiscCrop,1990,102.544804,101.54851,0.996294,0.981101544
GCAM_Hist_Forecast,India,MiscCrop,1990,343.9190682,343.76555,0.153518171,0.044657812
GCAM_Hist_Forecast_Bio,India,MiscCrop,1990,343.9190682,343.76555,0.153518171,0.044657812
GCAM_History,India,MiscCrop,1990,343.9190682,343.76555,0.153518171,0.044657812
GCAM_History_Bio,India,MiscCrop,1990,343.9190682,343.76555,0.153518171,0.044657812
GCAM_Hist_Forecast,Japan,MiscCrop,1990,10.0901565,10.10624,-0.016083497,-0.159144222
GCAM_Hist_Forecast_Bio,Japan,MiscCrop,1990,10.0901565,10.10624,-0.016083497,-0.159144222
GCAM_History,Japan,MiscCrop,1990,10.0901565,10.10624,-0.016083497,-0.159144222
GCAM_History_Bio,Japan,MiscCrop,1990,10.0901565,10.10624,-0.016083497,-0.159144222
GCAM_Hist_Forecast,Korea,MiscCrop,1990,6.343035222,6.14931,0.193725222,3.150357062
GCAM_Hist_Forecast_Bio,Korea,MiscCrop,1990,6.343035222,6.14931,0.193725222,3.150357062
GCAM_History,Korea,MiscCrop,1990,6.343035222,6.14931,0.193725222,3.150357062
GCAM_History_Bio,Korea,MiscCrop,1990,6.343035222,6.14931,0.193725222,3.150357062
GCAM_Hist_Forecast,Latin America,MiscCrop,1990,261.3633685,260.07148,1.291888477,0.496743617
GCAM_Hist_Forecast_Bio,Latin America,MiscCrop,1990,261.3633685,260.07148,1.291888477,0.496743617
GCAM_History,Latin America,MiscCrop,1990,261.3633685,260.07148,1.291888477,0.496743617
GCAM_History_Bio,Latin America,MiscCrop,1990,261.3633685,260.07148,1.291888477,0.496743617
GCAM_Hist_Forecast,Middle East,MiscCrop,1990,43.91570163,42.8696814,1.04602023,2.44000001
GCAM_Hist_Forecast_Bio,Middle East,MiscCrop,1990,43.91570163,42.8696814,1.04602023,2.44000001
GCAM_History,Middle East,MiscCrop,1990,43.91570163,42.8696814,1.04602023,2.44000001
GCAM_History_Bio,Middle East,MiscCrop,1990,43.91570163,42.8696814,1.04602023,2.44000001
GCAM_Hist_Forecast,Southeast Asia,MiscCrop,1990,148.300746,149.30872,-1.007973969,-0.675093839
GCAM_Hist_Forecast_Bio,Southeast Asia,MiscCrop,1990,148.300746,149.30872,-1.007973969,-0.675093839
GCAM_History,Southeast Asia,MiscCrop,1990,148.300746,149.30872,-1.007973969,-0.675093839
GCAM_History_Bio,Southeast Asia,MiscCrop,1990,148.300746,149.30872,-1.007973969,-0.675093839
GCAM_Hist_Forecast,USA,MiscCrop,1990,37.36054274,39.11031,-1.749767256,-4.473928372
GCAM_Hist_Forecast_Bio,USA,MiscCrop,1990,37.36054274,39.11031,-1.749767256,-4.473928372
GCAM_History,USA,MiscCrop,1990,37.36054274,39.11031,-1.749767256,-4.473928372
GCAM_History_Bio,USA,MiscCrop,1990,37.36054274,39.11031,-1.749767256,-4.473928372
GCAM_Hist_Forecast,Western Europe,MiscCrop,1990,160.7231053,162.31989,-1.59678471,-0.983727078
GCAM_Hist_Forecast_Bio,Western Europe,MiscCrop,1990,160.7231053,162.31989,-1.59678471,-0.983727078
GCAM_History,Western Europe,MiscCrop,1990,160.7231053,162.31989,-1.59678471,-0.983727078
GCAM_History_Bio,Western Europe,MiscCrop,1990,160.7231053,162.31989,-1.59678471,-0.983727078
GCAM_Hist_Forecast,Africa,OilCrop,1990,154.4011332,124.3973467,30.00378648,24.11931385
GCAM_Hist_Forecast_Bio,Africa,OilCrop,1990,154.4011332,124.3973467,30.00378648,24.11931385
GCAM_History,Africa,OilCrop,1990,154.4011332,124.3973467,30.00378648,24.11931385
GCAM_History_Bio,Africa,OilCrop,1990,154.4011332,124.3973467,30.00378648,24.11931385
GCAM_Hist_Forecast,Australia_NZ,OilCrop,1990,4.854256587,2.29065,2.563606587,111.9161193
GCAM_Hist_Forecast_Bio,Australia_NZ,OilCrop,1990,4.854256587,2.29065,2.563606587,111.9161193
GCAM_History,Australia_NZ,OilCrop,1990,4.854256587,2.29065,2.563606587,111.9161193
GCAM_History_Bio,Australia_NZ,OilCrop,1990,4.854256587,2.29065,2.563606587,111.9161193
GCAM_Hist_Forecast,Canada,OilCrop,1990,43.4991,40.03958,3.45952,8.640250472
GCAM_Hist_Forecast_Bio,Canada,OilCrop,1990,43.4991,40.03958,3.45952,8.640250472
GCAM_History,Canada,OilCrop,1990,43.4991,40.03958,3.45952,8.640250472
GCAM_History_Bio,Canada,OilCrop,1990,43.4991,40.03958,3.45952,8.640250472
GCAM_Hist_Forecast,China,OilCrop,1990,229.895241,195.30537,34.58987098,17.71066048
GCAM_Hist_Forecast_Bio,China,OilCrop,1990,229.895241,195.30537,34.58987098,17.71066048
GCAM_History,China,OilCrop,1990,229.895241,195.30537,34.58987098,17.71066048
GCAM_History_Bio,China,OilCrop,1990,229.895241,195.30537,34.58987098,17.71066048
GCAM_Hist_Forecast,Eastern Europe,OilCrop,1990,29.2925405,27.25962,2.032920503,7.457625978
GCAM_Hist_Forecast_Bio,Eastern Europe,OilCrop,1990,29.2925405,27.25962,2.032920503,7.457625978
GCAM_History,Eastern Europe,OilCrop,1990,29.2925405,27.25962,2.032920503,7.457625978
GCAM_History_Bio,Eastern Europe,OilCrop,1990,29.2925405,27.25962,2.032920503,7.457625978
GCAM_Hist_Forecast,Former Soviet Union,OilCrop,1990,91.9142298,71.57669,20.3375398,28.4136355
GCAM_Hist_Forecast_Bio,Former Soviet Union,OilCrop,1990,91.9142298,71.57669,20.3375398,28.4136355
GCAM_History,Former Soviet Union,OilCrop,1990,91.9142298,71.57669,20.3375398,28.4136355
GCAM_History_Bio,Former Soviet Union,OilCrop,1990,91.9142298,71.57669,20.3375398,28.4136355
GCAM_Hist_Forecast,India,OilCrop,1990,288.2493785,233.766,54.48337848,23.30680188
GCAM_Hist_Forecast_Bio,India,OilCrop,1990,288.2493785,233.766,54.48337848,23.30680188
GCAM_History,India,OilCrop,1990,288.2493785,233.766,54.48337848,23.30680188
GCAM_History_Bio,India,OilCrop,1990,288.2493785,233.766,54.48337848,23.30680188
GCAM_Hist_Forecast,Japan,OilCrop,1990,1.635500503,1.65425,-0.018749497,-1.133413767
GCAM_Hist_Forecast_Bio,Japan,OilCrop,1990,1.635500503,1.65425,-0.018749497,-1.133413767
GCAM_History,Japan,OilCrop,1990,1.635500503,1.65425,-0.018749497,-1.133413767
GCAM_History_Bio,Japan,OilCrop,1990,1.635500503,1.65425,-0.018749497,-1.133413767
GCAM_Hist_Forecast,Korea,OilCrop,1990,2.544397576,2.63183,-0.087432424,-3.322115172
GCAM_Hist_Forecast_Bio,Korea,OilCrop,1990,2.544397576,2.63183,-0.087432424,-3.322115172
GCAM_History,Korea,OilCrop,1990,2.544397576,2.63183,-0.087432424,-3.322115172
GCAM_History_Bio,Korea,OilCrop,1990,2.544397576,2.63183,-0.087432424,-3.322115172
GCAM_Hist_Forecast,Latin America,OilCrop,1990,237.330509,230.56026,6.770249003,2.936433626
GCAM_Hist_Forecast_Bio,Latin America,OilCrop,1990,237.330509,230.56026,6.770249003,2.936433626
GCAM_History,Latin America,OilCrop,1990,237.330509,230.56026,6.770249003,2.936433626
GCAM_History_Bio,Latin America,OilCrop,1990,237.330509,230.56026,6.770249003,2.936433626
GCAM_Hist_Forecast,Middle East,OilCrop,1990,10.60111402,8.40487,2.196244024,26.13061266
GCAM_Hist_Forecast_Bio,Middle East,OilCrop,1990,10.60111402,8.40487,2.196244024,26.13061266
GCAM_History,Middle East,OilCrop,1990,10.60111402,8.40487,2.196244024,26.13061266
GCAM_History_Bio,Middle East,OilCrop,1990,10.60111402,8.40487,2.196244024,26.13061266
GCAM_Hist_Forecast,Southeast Asia,OilCrop,1990,78.56015715,59.39753,19.16262715,32.26165658
GCAM_Hist_Forecast_Bio,Southeast Asia,OilCrop,1990,78.56015715,59.39753,19.16262715,32.26165658
GCAM_History,Southeast Asia,OilCrop,1990,78.56015715,59.39753,19.16262715,32.26165658
GCAM_History_Bio,Southeast Asia,OilCrop,1990,78.56015715,59.39753,19.16262715,32.26165658
GCAM_Hist_Forecast,USA,OilCrop,1990,280.9412475,245.8975,35.04374746,14.25136387
GCAM_Hist_Forecast_Bio,USA,OilCrop,1990,280.9412475,245.8975,35.04374746,14.25136387
GCAM_History,USA,OilCrop,1990,280.9412475,245.8975,35.04374746,14.25136387
GCAM_History_Bio,USA,OilCrop,1990,280.9412475,245.8975,35.04374746,14.25136387
GCAM_Hist_Forecast,Western Europe,OilCrop,1990,119.1978022,116.429535,2.76826719,2.377633124
GCAM_Hist_Forecast_Bio,Western Europe,OilCrop,1990,119.1978022,116.429535,2.76826719,2.377633124
GCAM_History,Western Europe,OilCrop,1990,119.1978022,116.429535,2.76826719,2.377633124
GCAM_History_Bio,Western Europe,OilCrop,1990,119.1978022,116.429535,2.76826719,2.377633124
GCAM_Hist_Forecast,Africa,OtherGrain,1990,425.7243685,395.83785,29.88651849,7.550192203
GCAM_Hist_Forecast_Bio,Africa,OtherGrain,1990,425.7243685,395.83785,29.88651849,7.550192203
GCAM_History,Africa,OtherGrain,1990,425.7243685,395.83785,29.88651849,7.550192203
