"","Corn","MiscCrop","OilCrop","OtherGrain","PalmFruit","Rice","Root_Tuber","SugarCrop","Wheat"
"Africa",9.83013926002429,22.2695201521508,14.0380668297328,3.37976564930364,30.1386465452966,11.6431594902129,20.3893750045704,15.3627416317885,2.30087049531678
"Australia_NZ",3.77056249633444,9.855380179063,5.07137704675757,4.48441330955454,34.5287194286244,2.21842351148128,2.98836875481993,10.0817323086033,6.85621985249136
"Canada",4.04265851313253,8.11941398727648,4.37097490567364,2.24887528353351,NA,NA,7.86044307369239,6.1725808736689,4.35277325980907
"China",15.7976843234641,19.0584107557899,2.56908002177361,16.7449863379832,27.7749596633937,3.20264979998617,2.15262890186152,5.60564858273343,22.9561866432203
"Eastern Europe",9.11637790421689,5.38284323606278,5.60344426020675,10.5456829390966,NA,59.3327593740043,10.7725409761581,17.6810099450917,4.6373082789564
"Former Soviet Union",2.83861627502354,27.9103758558501,6.34589173901382,9.76399537297474,NA,3.19243590488977,7.42004471552221,8.34334282036442,4.03025738223527
"India",8.60150343672252,3.15740108953047,4.52843306889047,14.3681317452946,19.6776577694301,2.40027749170001,6.33455823757124,3.54379143156875,6.42598542237979
"Japan",9.85177527715858,21.6479608600094,7.28766453805829,16.7771394729548,NA,6.56734250884397,21.7821366585887,19.2739254209054,10.4873451702299
"Korea",2.43511614540144,8.99375605645483,3.55568973300201,10.6808657363812,NA,18.3383724045744,2.18477609313998,NA,3.24706308136296
"Latin America",5.67842158654234,7.46879757890798,9.31075284772542,3.12762354965493,17.3704188238808,12.5824897015939,5.49541993533705,6.37588743872617,4.66641928445987
"Middle East",6.12619667575815,14.9000941813084,18.0095027759661,11.0633604386571,NA,3.82057757563158,5.75570171238025,3.29901964015018,2.53071986975406
"Southeast Asia",8.02978433615293,32.0985538518066,6.62109277677483,2.71338925620762,31.003927925089,4.7575701127583,5.4751905390973,4.48114646759624,3.79167313167155
"USA",4.74955394029091,10.3306853859767,6.05275619706676,8.90522473262786,5.0079119369228,1.76540554767737,9.90191697671973,4.57083557969748,1.99302394803018
"Western Europe",4.27767675606839,3.65620089186388,6.98843886720952,13.5099975496242,73.876845869382,7.68686166934771,21.6542924321907,12.7352804343823,3.16321524067644
