"","Corn","MiscCrop","OilCrop","OtherGrain","PalmFruit","Rice","Root_Tuber","SugarCrop","Wheat"
"Africa",52.7852853385022,76.6014168039925,22.4984486549742,291.54747981757,0.782790610543845,2.74473315395133,12.3098628738859,0.0734999721428956,60.8467785779651
"Australia_NZ",0.00770200673448782,1.2329944065104,4.30716976764958,20.0062690222884,6.82098355731373e-06,0.0576392836317926,0.000293291444027488,0.0101036028658877,52.4430685968655
"Canada",0.68745787320396,5.16464055107374,52.8216704748135,20.712888481225,0,0,0.00175565741593901,0.00060052294333728,41.7238697041109
"China",51.2420909085664,45.0771346420182,85.5678562592857,5.53342513607248,0.00213880652933818,25.3669191100949,7.96893992934919,1.54083794145931,21.3141086381037
"Eastern Europe",7.69478317354418,0.833680237602105,7.55999727019008,3.4324448494852,0,0.000615697181091573,0.427903771439211,0.251252599463264,42.960728435798
"Former Soviet Union",19.2111801658528,3.04072594716168,69.0832459820659,299.557799380856,0,0.170203985098789,2.69476308989528,2.26366334940433,728.685891874853
"India",3.8837438858603,185.019568596515,45.3044334485519,59.4182379121582,0.171824701219943,99.0465753169306,0.456911649863452,10.4871428780537,30.2010474846461
"Japan",4.0343215105255e-05,0.00293164364180419,0.00701261138908429,0.000776871421996387,0,0.123080844400594,0.000187608066451609,9.82743269229513e-05,0.00301068330791934
"Korea",0.000300958008069136,0.0231990474645049,0.00691938691766002,0.00740561512960216,0,0.0091421022507864,0.00180731392757815,0,0.000100164545498949
"Latin America",102.6165899742,19.7661958713237,187.899272299486,8.9717669625159,0.025227506047735,16.8159585226278,1.24305727765853,4.37211175491865,49.0078632615793
"Middle East",0.0769470577614023,3.31610328917663,0.0468174652916886,12.4588988565249,0,0.132215014072552,0.012030449250499,0.0834862115854511,45.762613488434
"Southeast Asia",6.59127399707065,8.26893220209317,3.06847346235454,1.28591749759986,2.15011795471185,39.332350907522,0.737919426773794,1.33076039157679,5.48967332620971
"USA",182.010391809901,0.729176403446611,90.0878144023301,27.7565401261094,2.12834807130437e-06,0.734296964858414,0.0202367526794841,0.0928026459409739,139.78233405308
"Western Europe",3.10258596412865,4.20148391498201,7.88662275619809,12.0856004837182,5.5084365668902e-09,0.0151133251102052,0.243124395137259,0.460392092306604,31.8573687853615
