"","Corn","MiscCrop","OilCrop","OtherGrain","PalmFruit","Rice","Root_Tuber","SugarCrop","Wheat"
"Africa",271.327853809524,430.374249671429,178.867591895238,505.971388095238,49.0767280952381,77.7319595238095,201.691759142857,14.5965266666667,90.5376166666667
"Australia_NZ",0.891032857142857,22.9124628571429,11.6617580952381,57.0088014285714,0.0898404761904762,0.991928095238095,0.526354285714286,3.91860761904762,112.063308095238
"Canada",11.4112052380952,18.6621967619048,67.3204061904762,57.9425390476191,0,0,1.49377952380952,0.168192857142857,107.866428571429
"China",265.285817619048,346.377704380952,230.833493809524,56.8368071428571,2.33762333333333,402.468666190476,105.604274285714,20.1548147619048,269.860409047619
"Eastern Europe",67.9807723809524,37.7371897142857,37.8266912380952,91.282687,0,0.209198857142857,17.9253419047619,7.07440285714286,91.72897
"Former Soviet Union",31.56953,70.6456179047619,100.877702971429,352.746042809524,0,4.64641428571429,58.4401495238095,21.3786033333333,453.262684761905
"India",68.0781904761905,367.192706666667,253.999591428571,235.941380952381,18.0522857142857,432.753571428571,17.1567142857143,41.0463333333333,260.926619047619
"Japan",0.306182857142857,8.31518285714286,1.33565904761905,1.01258619047619,0,18.4252380952381,1.74716666666667,0.92494380952381,1.96404761904762
"Korea",0.18312,6.29875285714286,1.77111428571429,0.89941380952381,0,10.4713557142857,0.41850619047619,0,0.023117619047619
"Latin America",277.127628952381,261.774441338095,323.833851528571,56.9652389333333,11.4149763809524,61.9073701904762,41.5865367619048,89.7956301904762,92.8119338095238
"Middle East",3.90810557142857,55.5645476666667,11.0596669047619,55.4020922857143,0,6.82990142857143,2.86273076190476,2.36847323809524,102.599757
"Southeast Asia",100.60236952381,189.777038519048,61.0866271142857,20.8900172285714,132.056506666667,485.677949333333,42.0185107619048,32.7337323809524,117.355840057143
"USA",296.362501428571,38.9737493809524,297.559721904762,67.4330971428572,0.00667904761904762,12.5574952380952,5.44952761904762,9.19944761904762,224.520333333333
"Western Europe",47.1168876190476,142.403466761905,117.735095714286,195.034612380952,0.00547857142857143,4.64861047619048,15.8839328571429,22.347239047619,264.291045238095
