"","Corn","MiscCrop","OilCrop","OtherGrain","PalmFruit","Rice","Root_Tuber","SugarCrop","Wheat"
"Africa",7.09180177846374,12.655552971653,12.7147323079248,8.87154246701433,12.812064961606,17.358182958567,18.1730621781443,15.1898318502659,2.03777927291965
"Australia_NZ",1.93333906540292,16.8628513963625,4.22384268293825,3.69470648204332,34.5287194286244,2.08714046138675,2.95187698513897,7.36576614472143,6.88764944559009
"Canada",3.48123144208933,6.85475957569135,3.12047546193822,1.6340658005325,NA,NA,6.29851337412848,4.44316530934378,2.15713573153016
"China",6.93403325941358,21.6143224834541,2.15933975870511,14.2877261601118,9.61863827129486,4.77067120317844,2.56750586065789,1.14427804167504,10.4428992460448
"Eastern Europe",1.39714273059338,16.7294261659367,3.70934507949295,3.84731521449802,NA,15.0103006067919,14.3987373105621,10.1481221080399,1.02325169193647
"Former Soviet Union",2.18833450251682,24.2298799276637,4.26921465957384,11.0974630157248,NA,4.25434342210058,3.42162933351828,12.083404437015,1.95897678934857
"India",9.47840688547707,1.73545107659959,6.82621242105867,6.11439034746672,12.634969062877,2.41109192487451,3.64282295917997,1.22268623548713,6.51347913835581
"Japan",9.68870181329551,41.0254692506914,4.87182952762866,6.4096375663148,NA,2.35339773403351,42.6237691951657,30.9418633621418,7.60861155627562
"Korea",5.79906660098666,9.00128286416607,14.7885664217366,8.38486030227351,NA,14.0595404213505,1.8287558397157,NA,3.2910926752289
"Latin America",4.79336272423702,1.77727831348304,7.76118876674764,1.92230693384976,17.011040260711,1.48728454384079,6.33319688811618,5.01702770051422,3.04711707818166
"Middle East",5.94699052447158,4.87640929474445,13.1835220697726,2.62942862525745,NA,3.33270825146577,5.33135320996733,1.50867383628769,1.74469098007988
"Southeast Asia",4.91327961476671,19.7584719920553,11.2087418582225,3.40526551827076,20.3748913312877,9.42978114424795,6.77839678121371,4.25741724444973,9.01978545765427
"USA",3.45347381006262,1.70680657489598,3.13494992541671,5.56812013150168,5.0079119369228,2.72407184775929,7.53931600925712,1.94181205736024,1.54360037467834
"Western Europe",1.92129377842109,11.7272509742509,17.9367870712439,7.16480717399998,73.876845869382,10.2185660364514,14.4350185543861,13.8328759392026,1.46987058671739
