"","Corn","MiscCrop","OilCrop","OtherGrain","PalmFruit","Rice","Root_Tuber","SugarCrop","Wheat"
"Africa",2.71238281400114,1.96278458822876,1.99210187002665,3.13234352761417,2.11535428203622,2.84085688463031,2.02464840556128,2.10320190567445,1.72308373264239
"Australia_NZ",1.31117347831844,6.75655507398988,1.45375647784601,1.65527814417691,11.2783991622797,0.906420879122204,1.72275044718432,1.8976361026801,2.42987343044414
"Canada",2.49817920557863,2.03872361755188,1.55497710815174,0.895785563246076,NA,NA,1.50424457571631,1.89598489693386,0.807130536752188
"China",1.36456196283813,1.7797775759817,0.997238431522001,1.84855396203378,1.75154823612735,1.86402988445898,1.18080135102921,0.952059317323436,1.38798268440578
"Eastern Europe",0.909456678863818,4.59053053666648,1.22226990323772,1.48669131752317,NA,2.3816453691998,1.59544244322559,2.26372902609388,0.905834847928741
"Former Soviet Union",1.06470121525996,3.08950805585284,1.05400582658337,1.73845649237226,NA,1.84443833352003,0.90287520523333,2.76536011552324,1.38316733238051
"India",2.24489526703666,0.781757454139798,2.6844316703836,1.51675814955319,3.53713597128722,1.97004782455643,0.878850280553096,0.864443191266338,2.39837165149039
"Japan",1.2535062445547,2.34229925526203,1.46492619018635,1.35489422170349,NA,0.409829968679422,2.63642809990942,6.50671003359428,1.41423174337119
"Korea",3.32816108260813,2.0528502666984,3.52280306164634,2.47218731688993,NA,1.46984978335873,1.81165640794996,NA,1.23845332883097
"Latin America",3.30089648240993,1.45921374511027,1.01846510285656,1.11497921917211,1.53874208086374,1.25027150764994,4.36185221738098,0.814320690012657,2.4095853330561
"Middle East",1.35052806198626,1.56394820714521,1.39278058177147,0.815151125310061,NA,2.25399255662736,1.58071023780089,1.08540466399226,1.21488501359301
"Southeast Asia",2.46694968798347,2.04115911895153,4.77301266720828,3.20696690417312,1.10096067737389,1.64326859557708,3.16713410807908,2.40564863033443,3.84712431860141
"USA",2.12513791862409,1.17906868255843,1.01743274070595,1.56492963790955,2.4079318915287,2.30385145007769,2.06681045136299,0.909584370798735,0.675896693312713
"Western Europe",1.27609356979291,2.34107028648758,12.8032069627183,1.96056477743841,24.1394700731753,2.86939159476066,3.1598693959601,2.49546956625095,1.07514978007043
