"","Corn","MiscCrop","OilCrop","OtherGrain","PalmFruit","Rice","Root_Tuber","SugarCrop","Wheat"
"Africa",20.8578382938656,57.378029177071,40.8436860540126,73.0677749492191,5.3199861526861,14.9881688307445,30.8755429041291,2.57577459793181,10.6403201572163
"Australia_NZ",0.134228605559055,6.88000060851562,5.78039598895999,10.1538592286505,0.00780300459602733,0.494441636143086,0.0427724228687793,0.381895638224846,27.4780273589782
"Canada",1.47694997141138,7.94541249183075,12.1850253310138,7.49615821610435,0,0,0.143613062733364,0.0681325907108686,8.8003976304112
"China",21.5383759206886,75.5586467772663,15.4102183654529,17.3655616832611,0.215386485990825,14.5579641275996,7.04622636393617,1.42259359941195,31.732698593729
"Eastern Europe",6.84123735228186,6.20254680490472,7.45858394619176,4.66110727171276,0,0.134515441058569,5.19903697841383,2.46493304645942,6.5364761775588
"Former Soviet Union",8.36359109899197,17.0240329673138,33.6459988781016,100.68757407863,0,0.858447262605491,5.53299183981338,8.85395129792311,47.763152514589
"India",9.8535127828683,23.0801441182382,16.4594606808353,18.8468317066992,2.24123097866861,14.5648635164057,1.80816853290231,3.37622906447556,17.6027852670819
"Japan",0.0467291482203381,1.03497672858534,0.27610081499465,0.169534323696072,0,0.829233421096747,0.258741536092215,0.135055140588016,0.381417436100271
"Korea",0.0613070316358691,1.04820776900585,0.530736002734331,0.254388550842576,0,0.618741247496486,0.0441475723757539,0,0.0261020336324417
"Latin America",17.9897770324494,6.57356442393507,87.7000705508898,5.5517667655603,1.44602637690555,4.12582191817822,4.0262809779519,9.75314160737936,14.6063414484013
"Middle East",0.954321406514556,4.06036966256043,2.49906869885041,6.65262197782968,0,0.544723793457221,0.255805745949622,0.440031883617692,9.58674017910017
"Southeast Asia",5.00477619590276,30.8544145361813,3.59021687028796,2.11345834614221,18.398223943518,35.8030408176487,2.55672042293001,1.95945815986096,9.34322282108379
"USA",18.5418600064453,1.20884794660028,27.163525131231,14.7153045550173,0.00296100514587917,1.26919956446595,0.756672346530619,0.52100832524783,15.0355836540859
"Western Europe",5.49986537445188,11.3634380751941,26.1279315045625,9.81682244779642,0.000221666538795933,0.671076816061296,3.05521918994083,5.86724102776056,7.49377476651732
