"","Corn","MiscCrop","OilCrop","OtherGrain","PalmFruit","Rice","Root_Tuber","SugarCrop","Wheat"
"Africa",41.674078669215,110.617382652411,60.0386329592683,150.932891009001,11.352276893627,28.7425072646734,63.6396014014972,4.11561429042781,15.8600942419674
"Australia_NZ",0.159659925189001,18.724557621106,8.74541746956373,16.3736700904038,0.0901787006052823,0.502413594742027,0.0531104827936418,0.735119127847674,49.7025084502259
"Canada",2.573892237653,15.5741574179817,22.5092528835215,7.59094036610023,0,0,0.263103624191709,0.109447102463974,14.0750772374326
"China",37.2007537130889,145.292579992864,20.1020185368412,33.5230322005681,0.444134796521502,23.9667123614802,7.25075118170436,1.42326751581186,47.965494986483
"Eastern Europe",7.01113576918767,15.119396024433,10.2474624949126,7.02541283722056,0,0.371850335014008,9.36688105118202,5.05490945555097,6.72232454595261
"Former Soviet Union",8.44985661409643,42.3471070683318,35.1615626524991,193.164532400149,0,1.76098736789101,5.73353927666389,18.2220650156163,52.0651616865376
"India",16.4956545452522,23.4444475506503,46.3350737114663,47.5537122534877,5.23546469162738,23.7569313235321,2.44088009377738,3.94316520753154,35.5924656231877
"Japan",0.0810102112730938,2.2437383981849,0.40921004886854,0.176912464082268,0,0.831962101061781,0.590087952151987,0.308877404876958,0.415276753034068
"Korea",0.115886717154187,1.3849790423005,1.23932649683414,0.724899967359769,0,1.36078919763229,0.0784159143207092,0,0.0329307220877049
"Latin America",37.4522950083087,7.74576587344706,105.709889522859,5.6845534596063,2.70485803065928,6.09609137156358,7.02319218136652,10.5027979851973,21.2429021686176
"Middle East",1.55848091765671,8.84508636202356,2.81888852750437,9.35375604230583,0,1.20765790918011,0.582269997328584,0.440125515466387,11.707641916853
"Southeast Asia",6.91916680062544,56.7142128832881,19.7220048620545,3.83328433264238,29.8809070964388,59.028346238719,5.85838854590225,4.91225237795148,21.0077714701656
"USA",36.323935444635,1.49449159092805,29.8485802100898,29.3434744060689,0.00730597211679791,2.3441247895573,1.06739542532928,0.585691793248801,18.2659177083989
"Western Europe",6.74426061917343,24.0636918252409,50.29090024884,25.2094548530107,0.00548305398043654,1.25659282350665,7.12415813024601,9.37392188454234,8.2932077200031
