"","Corn","MiscCrop","OilCrop","OtherGrain","PalmFruit","Rice","Root_Tuber","SugarCrop","Wheat"
"Africa",2.19383502703703,1.96018242236795,1.98316491527237,3.12104114924108,2.11847895240944,2.83935489934128,2.02079540913079,2.10193402122827,1.71923882564847
"Australia_NZ",1.23380380128347,6.75655507398988,1.45033550603184,1.6400384185839,11.2783991622797,0.908825111748723,1.80990036974788,1.88414619431247,2.42129038337205
"Canada",2.22770667802351,2.03821801933789,1.5433280252735,0.914344305401311,NA,NA,1.49964112276412,1.90581994668635,0.815313817147475
"China",1.02269388338291,1.78192486702143,1.00360396630124,1.84380627991581,1.74878958785475,1.85929365236484,1.18126714047263,0.9539826995684,1.38088751585902
"Eastern Europe",1.64524820306581,4.54377194338786,1.22807643681938,1.46532210476172,NA,2.37778344761121,1.58664103017205,2.2495562350442,0.907925492656271
"Former Soviet Union",0.937964408174171,3.0965149200617,1.04442394407656,1.74834522306547,NA,1.85055916137106,0.921631400413146,2.77174999364615,1.36182867230069
"India",1.98246257758164,0.77640947591444,2.70714838785698,1.53033925120958,3.53581886262773,1.95044456297483,0.871178523404674,0.8608704796237,2.38479211383108
"Japan",1.65011960345706,2.36594941124698,1.46936626207299,1.34170110128745,NA,0.41296827669004,2.66474143105776,6.55210864228004,1.40676077842531
"Korea",3.83377790231709,2.07377191608919,3.54906714446031,2.48360802169279,NA,1.48788595378574,1.82729018493327,NA,1.23817997041866
"Latin America",2.54601675250458,1.43042894181091,1.01197777853266,1.10078221337693,1.54043108639603,1.24968605482507,4.33847340795888,0.815282941414892,2.3995739298786
"Middle East",1.27588592350066,1.55779486924638,1.37633833418876,0.821529105741954,NA,2.24625327328666,1.57397670340046,1.0958862912168,1.20512107224393
"Southeast Asia",1.35318735053738,2.03746754402471,4.79430429572372,3.18352290188344,1.1011313840556,1.6401841309342,3.18649444908924,2.40611686973351,3.82425414874969
"USA",1.65682163313151,1.20901578094129,1.02062394585246,1.56536308952334,2.4079318915287,2.31356004755391,2.05694948844874,0.900585095564847,0.676489093487789
"Western Europe",2.54308675847133,2.34357651742747,12.7825643989685,1.98429403474326,24.1394700731753,2.87021499262611,3.16279517642949,2.49228209876353,1.07475002229805
