"","Corn","MiscCrop","OilCrop","OtherGrain","PalmFruit","Rice","Root_Tuber","SugarCrop","Wheat"
"Africa",8.81078222866623,22.2640296853695,13.987529752192,3.35221662278274,30.1337858704132,11.6231121117986,20.3653833121073,15.3272777278104,2.30347884753296
"Australia_NZ",3.54981968263895,9.84399785108225,5.06674529321031,4.45995880628775,34.5287194286244,2.22460826421677,3.00502148469732,10.0326120445325,6.83705453356399
"Canada",3.74798542685443,8.11910314480202,4.3543438692576,2.27263487393082,NA,NA,7.84135268183573,6.19901649819354,4.3801987643631
"China",14.8819179044014,19.0550757656985,2.54365794490344,16.7489385813728,27.9073479556207,3.15196240909394,2.1316487613854,5.61992941534255,22.9537433106336
"Eastern Europe",9.86220804612985,5.41513759176936,5.62284864049462,10.594166357947,NA,59.0835166961244,10.6932771985584,17.5775376405978,4.65518504608185
"Former Soviet Union",2.60573137100344,27.9819298769628,6.31983238405416,9.82207351110083,NA,3.21455546523314,7.4954247604981,8.39259041136872,4.0131933917807
"India",7.59419154050108,3.15655120657086,4.54496067198032,14.4280309605899,19.6645505619406,2.38129056261554,6.31770847640413,3.53372337468433,6.41213027969089
"Japan",8.70714414289263,21.4581282072891,7.26457119525299,16.7417229829626,NA,6.58972091079006,21.9660234121784,19.3455558131326,10.4729947851453
"Korea",2.34864825619804,8.99012688209941,3.61749996197242,10.6857167921039,NA,18.5369210136539,2.18510093337103,NA,3.24640177498758
"Latin America",6.9643260432104,7.50382161944457,9.29470442626091,3.12850471253535,17.4060546631402,12.5487852055036,5.50483220944223,6.4144904647936,4.66420723136276
"Middle East",5.81901687320029,14.8894744889075,17.9039669648808,11.0986661486178,NA,3.80877600520374,5.73750518905401,3.32909837623571,2.53833471657855
"Southeast Asia",11.3310680063296,32.1136140755478,6.60549580561562,2.72064385883539,31.0226415634689,4.83179748034999,5.45128921280507,4.49173014009292,3.78470111785866
"USA",4.08939839482055,10.3814978289102,6.05337432261786,8.90460360749009,5.0079119369228,1.76551720976775,9.87285062508661,4.56387492521511,1.99228632239236
"Western Europe",4.01988036498413,3.6532090532149,7.03579390578439,13.5565535063881,73.876845869382,7.67490262130748,21.671723956352,12.7649239070931,3.1560668614962
