"","Corn","MiscCrop","OilCrop","OtherGrain","PalmFruit","Rice","Root_Tuber","SugarCrop","Wheat"
"Africa",3.36983675538065,3.45298972207639,2.1915195303819,1.18359282848228,4.97528174934812,1.90224968491512,2.26889340097513,2.12223282283195,1.94775115411942
"Australia_NZ",2.40745635568014,3.94426257254585,1.74386556141252,1.99812146698449,11.2783991622797,0.966121550446164,1.75376620794957,2.58469335651275,2.41202420141194
"Canada",2.6896055065388,2.41476118190158,2.16983120691192,1.24584549161569,NA,NA,1.87271369246906,2.64524068724209,1.63892894085707
"China",2.92864172216898,1.56904277626022,1.17472641768293,2.16698699481617,5.08191125479132,1.2315567086929,0.980349753405691,4.67587943463868,3.05081927028271
"Eastern Europe",6.41970986893227,1.48590598557904,1.85279032186382,4.09383018095409,NA,9.37462797192034,1.1848614174829,3.92099954461079,4.12100842004716
"Former Soviet Union",1.26777937932139,3.56792514165469,1.56027295111188,1.53866225458339,NA,1.39364614866348,1.97783935935197,1.92069502518904,2.83358027936731
"India",1.79863186421783,1.42191126467582,1.7873215212104,3.5790704056942,5.50505417193307,1.94569781604725,1.52418054051968,2.4983540522541,2.36105331141904
"Japan",1.126514136329,1.22512572402577,2.18440742724006,3.5389307891894,NA,1.14756000459239,1.35867480658429,4.06814291180605,1.94664184966796
"Korea",1.34792032250222,2.0503060114954,0.861729229062455,3.15057050123472,NA,1.9379359864908,2.16466956495105,NA,1.22163593727318
"Latin America",4.79590647754458,6.16092570582847,1.21970130916942,1.81459978119788,1.57447330448378,10.5490160998672,3.79133398238753,1.04114479990512,3.6883405024045
"Middle East",1.32146596637243,4.77531017696938,1.89147462972268,3.44070575393569,NA,2.57596888710986,1.70113155789747,2.39509615500897,1.76752493241694
"Southeast Asia",5.68931078107624,3.31751343115759,2.81281481473911,2.56221277504305,1.67631365067436,0.84200692870702,2.54705715173362,2.53804685773593,1.61425299720361
"USA",2.51646199483878,7.17157945613276,1.96459317504455,2.50265399633887,2.4079318915287,1.49316523615422,2.70652017127549,2.13781209490439,0.872362924709539
"Western Europe",2.66994227676551,0.729277405556262,5.02212158537615,3.70959059505929,24.1394700731753,2.15512636446531,4.74400618394523,2.30280957233078,2.30853288900979
