"","Corn","MiscCrop","OilCrop","OtherGrain","PalmFruit","Rice","Root_Tuber","SugarCrop","Wheat"
"Africa",2.00959273499794,1.68811457533438,1.30866482007331,1.12399922128954,2.22022599945029,1.06814286365395,1.1201406357855,1.7920984827276,1.31534290018511
"Australia_NZ",1.66309266505235,1.68411622621505,1.08796473650741,1.74616675963851,0.975900072948533,0.946871646023632,1.75352193024265,2.58467610956482,1.81419443107522
"Canada",1.45476839449365,1.10610622039894,1.035940335108,1.12160136304364,NA,NA,1.1327367200922,1.55035066978517,0.937947883242136
"China",1.58655422747356,0.885000003602056,1.1482202205031,0.953033071074022,1.80659533510287,1.21813680309135,0.838800404801764,2.61230524024646,1.46573378249601
"Eastern Europe",5.26415590836905,1.27318069001974,0.991351620285447,1.59639240822728,NA,3.55482457167019,1.02453736284077,2.29354387054474,1.32901046226303
"Former Soviet Union",0.873488079356515,2.18496096536887,1.0212307682965,1.08342977196587,NA,1.34412386188309,1.77502722612978,1.67747725503993,1.10155616516403
"India",1.1098400040291,1.4083188818728,1.50784021920453,1.68983877986702,2.83579533827576,1.62309429371922,1.06163824894746,1.85916939475628,2.24652228064942
"Japan",0.454539959737681,0.812863147018962,2.16458753998484,3.44564890413705,NA,1.1343924899553,0.783046567091231,2.16878581561105,1.68513772759883
"Korea",0.979717685069441,1.32292094440164,0.754857374603341,1.62433009534168,NA,1.10438670103419,1.51922094148979,NA,0.98748108549225
"Latin America",2.7895124073449,5.1182254314599,1.05871026096798,1.3604625119939,0.869854807825619,4.79038963017173,2.30960668163953,0.94454155395014,2.24882955505021
"Middle East",0.905367586784328,1.65457633038507,1.50533627193033,1.78548880609158,NA,1.37214165002259,0.821186402152286,1.64894904797773,1.40481638675345
"Southeast Asia",3.52944223489476,1.84047068166345,2.2361878207733,2.25388759141818,0.999041619049918,0.708750881173532,2.36316453596489,1.51384504364089,1.54617396063965
"USA",1.05167319401396,5.49091338269761,1.56665879601029,0.973230230228365,0.975900072948533,1.46743343488514,1.55351918813478,1.55072850892302,0.869388118295891
"Western Europe",2.44707327867015,0.687005888558193,3.56621702400339,1.60640570901357,0.975900072948533,1.17079131479967,1.76605071409797,1.49178377990948,2.23310197672798
