"","Corn","MiscCrop","OilCrop","OtherGrain","PalmFruit","Rice","Root_Tuber","SugarCrop","Wheat"
"Africa",64.0134013339257,194.859764592903,66.3463919184937,57.2382992847725,26.6610041030479,19.2562843766307,71.4527908209434,4.15535960931743,17.9681359002482
"Australia_NZ",0.311536000492,10.930802902313,10.5153823249313,19.9486678666997,0.0901787006052823,0.534088016321893,0.0514632581816375,1.00844484983643,49.5122989279246
"Canada",3.10757013206562,18.4513483920546,31.6467261341165,10.3430827712967,0,0,0.328557114154002,0.151910430490475,28.2934631353785
"China",106.530097803952,127.934840183849,23.5295724378308,39.398919288176,1.29063761401725,15.8750423078958,6.01749755787316,6.97604611717258,105.971018444887
"Eastern Europe",27.3572445823104,4.94435049358885,15.4602749185628,19.6276620773101,0,1.46605383913004,6.99493820507954,8.81075892413719,30.5121469550457
"Former Soviet Union",11.4210665993465,48.7939867515425,52.5281284833303,169.997876281684,0,1.32619011287814,12.3042895941835,12.6270513951099,108.33287505087
"India",14.9660378065818,42.9360087692241,30.5914795076793,111.21591769461,8.15129899534281,23.6991146888482,4.27047022019986,11.4435597550633,35.2381695384741
"Japan",0.0553045657993202,1.16184294411938,0.608344898833196,0.466632221983969,0,2.31186385590518,0.300868829115467,0.191779088820173,0.574650018004654
"Korea",0.0407446819143556,1.3693072194646,0.300913965051499,0.919568802146589,0,1.77239549134108,0.0928941361024423,0,0.0324907158117678
"Latin America",70.5485162470215,33.3613832090354,127.408420795699,9.37078137587701,2.76463309478859,51.4591370981472,6.13747387115613,13.4124399656456,32.6520702202715
"Middle East",1.61415644924869,27.1139876979938,3.87394291167045,39.17514548265,0,1.38492361360851,0.629309103198661,0.961909039526754,17.1713444104965
"Southeast Asia",29.090790908761,92.3451092654842,11.5708857908381,3.08516394892524,45.4893695571605,30.3028639198023,4.6827793620477,5.18159648398394,8.86757436646061
"USA",55.1705755293852,8.86495061505174,57.4553607171487,46.9134375151118,0.00730597211679791,1.51289163584707,1.40447165358426,1.39031725670322,23.5547173605546
"Western Europe",7.08068118111705,7.48817314558207,19.7587125559938,47.1284774292031,0.00548305398043654,0.943523858071442,10.6858169245865,8.66128158474294,17.8135774643489
