"","Corn","MiscCrop","OilCrop","OtherGrain","PalmFruit","Rice","Root_Tuber","SugarCrop","Wheat"
"Africa",38.1742130557993,95.2639988044048,39.6187156166472,54.3563650233669,11.8975080132484,10.8127039791346,35.2758637776554,3.50895225581713,12.1341270603111
"Australia_NZ",0.215211892043465,4.66722034721483,6.56034812176233,17.4332248081344,0.00780300459602733,0.523446349895274,0.0514560899931742,1.00843812076129,37.2404791511592
"Canada",1.68083936503359,8.45183009573131,15.1090646922281,9.31160068598465,0,0,0.198732304540947,0.0890332735293765,16.1921564723483
"China",57.7113191226602,72.1601321115019,22.9986577693547,17.327502719689,0.45881554712187,15.7020567135754,5.14865166222863,3.89735494313469,50.9126526153697
"Eastern Europe",22.4329142040525,4.23650731218624,8.27215492747059,7.6538227885569,0,0.555922243137644,6.04845042308059,5.15375273457423,9.84005815957513
"Former Soviet Union",7.86900756613196,29.8809398078913,34.3807415042228,119.701877254679,0,1.27906483135797,11.0425798357138,11.0280868309284,42.1144751998613
"India",9.23474546959591,42.5255734054124,25.8079269002548,52.5099954334086,4.1989442737433,19.7697183501041,2.97451279965132,8.51581305879481,33.5288206389144
"Japan",0.0223149752861967,0.77087542394856,0.602825174281445,0.45433236762519,0,2.28533670173478,0.173400067949967,0.102240205563317,0.49745382062456
"Korea",0.029614721862729,0.883519430657515,0.26359454684784,0.474099303436829,0,1.01004884746193,0.0651955010563586,0,0.0262631168086293
"Latin America",41.0341532538799,27.7151662140037,110.591504178993,7.02556944074771,1.52738657589634,23.367991327234,3.73882932156867,12.1679586629721,19.9083952517539
"Middle East",1.10589675885514,9.39460696894963,3.08309013966522,20.3291966063274,0,0.737707424123475,0.303786074567983,0.662244391170539,13.6476637856911
"Southeast Asia",18.0468724650073,51.2306791592484,9.1988543808316,2.71390916855314,27.1105430619524,25.5071315603326,4.34469172024953,3.09061833571645,8.49359586335499
"USA",23.0567421648243,6.78744149275448,45.8176010121909,18.2436627917518,0.00296100514587917,1.48681988841239,0.806154591490177,1.00850987397644,23.4743944556132
"Western Europe",6.48963307704345,7.05413194809493,14.0306951736806,20.4085742777712,0.000221666538795933,0.512577617976655,3.97800801235296,5.61086749707684,17.2315219062342
